Exercise,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,Posture,Single or Double Arm,Continuous or Alternating  ,Grip
Bodyweight Wall Assisted Hip Airplane,Intermediate,Glutes,Gluteus Medius,Gluteus Minimus,,Bodyweight,Standing,Double Arm,Continuous,Hand Assisted
Superband Single Leg Tibialis Raise,Beginner,Shins,Tibialis Anterior,Extensor Digitorum Longus,Extensor Hallucis Longus,Superband,Seated Floor,No Arms,Continuous,No Grip
Barbell Zercher Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,Standing,Double Arm,Continuous,No Grip
Barbell Squat Snatch,Expert,Quadriceps,Quadriceps Femoris,Quadriceps Femoris,,Barbell,Standing,Double Arm,Continuous,Pronated
Alternating Double Kettlebell Spider Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Kettlebell,Prone,Double Arm,Alternating,Supinated
Barbell Squat Clean to Split Jerk,Expert,Shoulders,Anterior Deltoids,Gluteus Maximus,,Barbell,Staggered Stance,Double Arm,Continuous,Pronated
Slider Kneeling Alternating Reach Push Up,Novice,Chest,Pectoralis Major,Triceps Brachii,,Sliders,Kneeling,Double Arm,Alternating,Flat Palm
Barbell Hang Squat Clean to Thruster,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Barbell,Standing,Double Arm,Continuous,Pronated
Barbell Squat Clean to Thruster,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Barbell,Standing,Double Arm,Continuous,Pronated
Bodyweight Copenhagen Plank,Novice,Adductors,Adductor Magnus,,,Bodyweight,Side Plank,Single Arm,Continuous,Forearm
Bodyweight Bent Knee Copenhagen Plank,Novice,Adductors,Adductor Magnus,,,Bodyweight,Side Plank,Single Arm,Continuous,Forearm
Single Arm Clubbell Inside Pullover,Novice,Back,Latissimus Dorsi,Posterior Deltoids,Triceps Brachii,Clubbell,Standing,Single Arm,Continuous,Neutral
Miniband Single Leg Hip Thrust,Novice,Glutes,Gluteus Maximus,Biceps Femoris,Obliques,Miniband,Single Leg Bridge,No Arms,Continuous,No Grip
Barbell Deficit Snatch Grip Deadlift,Intermediate,Back,Latissimus Dorsi,,,Barbell,Standing,Double Arm,Continuous,Pronated
Single Arm Clubbell Outside Pullover,Novice,Back,Latissimus Dorsi,Posterior Deltoids,Triceps Brachii,Clubbell,Standing,Single Arm,Continuous,Neutral
Bodyweight Hand Assisted Foot Elevated Knee Over Toe Split Squat,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Soleus,Bodyweight,Knee Over Toe Split Squat,Single Arm,Continuous,Hand Assisted
Bodyweight Foot Elevated Knee Over Toe Split Squat,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Soleus,Bodyweight,Knee Over Toe Split Squat,No Arms,Continuous,No Grip
Double Kettlebell Thruster,Novice,Quadriceps,Quadriceps Femoris,Anterior Deltoids,,Kettlebell,Standing,Double Arm,Continuous,Pronated
Double Kettlebell Cossack Squat Thruster,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,Adductor Magnus,Kettlebell,Standing,Double Arm,Continuous,Pronated
Double Kettlebell Alternating Cossack Squat Thruster,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,Adductor Magnus,Kettlebell,Standing,Double Arm,Continuous,Pronated
Single Arm Landmine Shrug,Novice,Trapezius,Upper Trapezius,Levator Scapulae,Rhomboids,Landmine,Standing,Single Arm,Continuous,Neutral
Double Kettlebell Front Rack Walking Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Walking,Double Arm,Continuous,Neutral
Double Kettlebell Overhead Walking Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Walking,Double Arm,Continuous,Neutral
Plate Seated Steering Wheel,Novice,Shoulders,Anterior Deltoids,,,Weight Plate,Seated,Double Arm,Continuous,Neutral
Parallette L Sit to Handstand,Expert,Shoulders,Anterior Deltoids,,,Parallette Bars,Inverted,Double Arm,Continuous,Neutral
Ring Straddle L Sit,Expert,Abdominals,Rectus Abdominis,,,Gymnastic Rings,L Sit,Double Arm,Continuous,Supinated
Double Kettlebell Seesaw Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,Standing,Double Arm,Alternating,Pronated
Double Kettlebell Half Kneeling Seesaw Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,Half Kneeling,Double Arm,Alternating,Pronated
Double Kettlebell Bottoms Up Seesaw Bench Press,Novice,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,Supine,Double Arm,Alternating,Bottoms Up
Double Kettlebell Bottoms Up Seesaw Incline Bench Press,Novice,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,Supine,Double Arm,Alternating,Bottoms Up
Double Kettlebell Bottoms Up Seesaw Decline Bench Press,Novice,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,Supine,Double Arm,Alternating,Bottoms Up
Double Kettlebell Bottoms Up Seesaw Floor Press,Novice,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Kettlebell,Supine,Double Arm,Alternating,Bottoms Up
Double Dumbbell Tall Kneeling Seesaw Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Dumbbell,Tall Kneeling,Double Arm,Alternating,Neutral
Double Dumbbell Half Kneeling Seesaw Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Dumbbell,Half Kneeling,Double Arm,Alternating,Neutral
Double Dumbbell Seesaw Z Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Dumbbell,Seated Floor,Double Arm,Alternating,Neutral
Stability Ball Sit Up,Beginner,Abdominals,Rectus Abdominis,,,Stability Ball,Supine,No Arms,Continuous,Head Supported
EZ Bar Wide Grip Strict Bicep Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,EZ Bar,Standing,Double Arm,Continuous,Supinated
Double Kettlebell Squat Clean,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,Standing,Double Arm,Continuous,Neutral
Double Kettlebell Hollow Body Hold,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,Supine,Double Arm,Continuous,Pronated
Alternating Double Dumbbell Incline Bench Prone Row,Novice,Back,Latissimus Dorsi,,,Dumbbell,Prone,Double Arm,Alternating,Neutral
Bodyweight Side Lying Hip Adduction,Beginner,Adductors,Adductor Magnus,,,Bodyweight,Side Lying,No Arms,Continuous,No Grip
Superband Hollow Body Hold,Intermediate,Abdominals,Rectus Abdominis,,,Superband,Supine,Double Arm,Continuous,Pronated
Parallette Freestanding Handstand Push Up,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Parallette Bars,Inverted,Double Arm,Continuous,Neutral
Slider Single Leg Eccentric Hamstring Curl ,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,,Sliders,Supine,No Arms,Continuous,No Grip
Bodyweight Freestanding Handstand Push Up,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,Inverted,Double Arm,Continuous,Flat Palm
Single Arm Ring Grip Push Up,Master,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Gymnastic Rings,Prone,Single Arm,Continuous,Neutral
Superband Side Plank Hanging Hip Adduction,Intermediate,Adductors,Adductor Magnus,,,Superband,Side Plank,Single Arm,Continuous,Flat Palm
Ring Strap Bulgarian Handstand Push Up,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Gymnastic Rings,Inverted,Double Arm,Continuous,Pronated
Ring Freestanding Handstand Push Up,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Gymnastic Rings,Inverted,Double Arm,Continuous,Neutral
Stability Ball Feet Elevated Frog Pump,Novice,Glutes,Gluteus Maximus,Biceps Femoris,Adductor Magnus,Stability Ball,Bridge,No Arms,Continuous,No Grip
Double Kettlebell Hollow Body Flutter Kicks,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,,Kettlebell,Supine,Double Arm,Continuous,Pronated
Barbell Overhead Cyclist Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Soleus,Barbell,Standing,Double Arm,Continuous,Pronated
Barbell Front Rack Cyclist Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Soleus,Barbell,Standing,Double Arm,Continuous,Pronated
Double Kettlebell Dead Clean to Push Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,Standing,Double Arm,Continuous,Pronated
Bodyweight Bent Arm Press Handstand,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,Inverted,Double Arm,Continuous,Flat Palm
Barbell Cyclist Thruster,Intermediate,Quadriceps,Quadriceps Femoris,Anterior Deltoids,,Barbell,Standing,Double Arm,Continuous,Pronated
Parallette L Sit to Bent Arm Press Handstand,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Parallette Bars,Inverted,Double Arm,Continuous,Neutral
Alternating Single Arm Landmine Thruster,Intermediate,Quadriceps,Quadriceps Femoris,Anterior Deltoids,,Landmine,Standing,Single Arm,Alternating,Neutral
Single Arm Dumbbell Cyclist Thruster,Novice,Quadriceps,Quadriceps Femoris,Anterior Deltoids,,Dumbbell,Standing,Single Arm,Continuous,Neutral
Alternating Single Arm Landmine Cyclist Thruster,Intermediate,Quadriceps,Quadriceps Femoris,Anterior Deltoids,,Landmine,Standing,Single Arm,Alternating,Neutral
Barbell Low Bar Cyclist Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Soleus,Barbell,Standing,Double Arm,Continuous,Pronated
Double Kettlebell Front Rack Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Split Squat,Double Arm,Continuous,Neutral
Double Kettlebell Front Rack Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Single Leg Supported,Double Arm,Continuous,Neutral
Double Kettlebell Overhead Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,Standing,Double Arm,Continuous,Pronated
Bodyweight Chest Roll to Straight Body Press Handstand,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,Inverted,Double Arm,Continuous,Flat Palm
Single Arm Kettlebell Overhead Contralateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Soleus,Kettlebell,Knee Over Toe Split Squat,Single Arm,Continuous,Pronated
Ring Bent Arm Bent Body Press Handstand,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Gymnastic Rings,Inverted,Double Arm,Continuous,Neutral
Single Arm Kettlebell Sumo Deadlift,Novice,Back,Latissimus Dorsi,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Single Arm,Continuous,Pronated
Single Arm Kettlebell Front Rack Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Soleus,Kettlebell,Knee Over Toe Split Squat,Single Arm,Continuous,Neutral
Ring Dip to Handstand,Master,Triceps,Triceps Brachii,Anterior Deltoids,,Gymnastic Rings,Inverted,Double Arm,Continuous,Neutral
Ring Handstand to Elbow Lever to Handstand,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Gymnastic Rings,Inverted,Double Arm,Continuous,Neutral
Ring Dip Straight Body Press to Handstand,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Gymnastic Rings,Inverted,Double Arm,Continuous,Neutral
Kettlebell Swing,Novice,Glutes,Gluteus Maximus,,,Kettlebell,Standing,Double Arm,Continuous,Pronated
Alternating Single Arm Kettlebell Swing,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,Standing,Single Arm,Alternating,Pronated
Alternating Single Arm Kettlebell Clean,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,Standing,Single Arm,Alternating,Neutral
Alternating Single Arm Kettlebell Snatch,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,Standing,Single Arm,Alternating,Pronated
Ring Straight Arm L Sit Straddle Press Handstand,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Gymnastic Rings,Inverted,Double Arm,Continuous,Supinated
Single Arm Kettlebell Bottoms Up Overhead Contralateral Knee Over Toe Split Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Soleus,Kettlebell,Knee Over Toe Split Squat,Single Arm,Continuous,Bottoms Up
Single Arm Kettlebell Staggered Stance Swing,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,Staggered Stance,Single Arm,Continuous,Pronated
Alternating Single Arm Kettlebell Alternating Staggered Stance Swing,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,Staggered Stance,Single Arm,Alternating,Pronated
Single Arm Kettlebell Half Kneeling Swing,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,Half Kneeling,Single Arm,Continuous,Pronated
Double Kettlebell Outside Swing,Novice,Glutes,Gluteus Maximus,,,Kettlebell,Standing,Double Arm,Continuous,Neutral
Double Kettlebell Outside Half Snatch,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Anterior Deltoids ,Kettlebell,Standing,Double Arm,Continuous,Pronated
Double Kettlebell Outside Clean,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,Standing,Double Arm,Continuous,Neutral
Single Arm Kettlebell Side Swing,Intermediate,Abdominals,Obliques,,,Kettlebell,Standing,Single Arm,Continuous,Pronated
Kettlebell Feet Elevated Russian Twist,Novice,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Kettlebell,Seated Floor,Double Arm,Continuous,Horn Grip
Single Arm Kettlebell Half Kneeling Windmill,Intermediate,Abdominals,Obliques,Rectus Abdominis,Anterior Deltoids,Kettlebell,Half Kneeling,Single Arm,Continuous,Pronated
Double Kettlebell Front Rack Skater Squat,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,Single Leg Standing,Double Arm,Continuous,Neutral
Kettlebell Horn Grip Skater Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,Single Leg Standing,Double Arm,Continuous,Horn Grip
Double Kettlebell Front Rack Pistol Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,Single Leg Standing,Double Arm,Continuous,Neutral
Ring Straight Arm Pike Press Handstand,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Gymnastic Rings,Inverted,Double Arm,Continuous,Neutral
Single Arm Kettlebell Hollow Body Flutter Kicks,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,,Kettlebell,Supine,Single Arm,Continuous,Pronated
Ring Back Lever Pullout,Master,Abdominals,Rectus Abdominis,,,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated
Double Kettlebell Clean to Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Kettlebell,Standing,Double Arm,Continuous,Pronated
Kettlebell Alternating Halo to Horn Grip Bottoms Up Squat,Intermediate,Shoulders,Posterior Deltoids,Quadriceps Femoris,,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up Horn Grip
Ring German Hang Pullout,Expert,Abdominals,Rectus Abdominis,,,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated
Ring Dead Hang to Front Lever Pull Up,Master,Back,Latissimus Dorsi,,,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated
Single Arm Kettlebell Side to Side Swing,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,Standing,Single Arm,Continuous,Pronated
Single Arm Kettlebell Bottoms Up Turkish Get Up,Advanced,Abdominals,Obliques,Rectus Abdominis,,Kettlebell,Supine,Single Arm,Continuous,Bottoms Up
Single Arm Kettlebell Thruster,Intermediate,Quadriceps,Quadriceps Femoris,Anterior Deltoids,,Kettlebell,Standing,Single Arm,Continuous,Pronated
Alternating Double Kettlebell Thruster,Intermediate,Quadriceps,Quadriceps Femoris,Anterior Deltoids,,Kettlebell,Standing,Double Arm,Alternating,Pronated
Single Arm Kettlebell Bottoms Up Dead Clean to Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up
Single Arm Kettlebell Tactical Snatch,Advanced,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,Standing,Single Arm,Alternating,Pronated
Single Arm Kettlebell Snatch to Overhead Contralateral Reverse Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Single Arm,Continuous,Pronated
Double Kettlebell Snatch to Overhead Alternating Reverse Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Double Arm,Continuous,Pronated
Single Arm Kettlebell Clean to Front Rack Contralateral Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Single Arm,Continuous,Neutral
Double Kettlebell Clean to Front Rack Alternating Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Double Arm,Continuous,Neutral
Ring Full Front Lever Pull Up,Master,Back,Latissimus Dorsi,,,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated
Single Arm Kettlebell Split Jerk,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Kettlebell,Staggered Stance,Single Arm,Continuous,Pronated
Parallette Stalder Press to Handstand,Master,Shoulders,Anterior Deltoids,Rectus Abdominis,,Parallette Bars,Inverted,Double Arm,Continuous,Neutral
Double Kettlebell Bottoms Up Clean to Front Rack Squat,Advanced,Glutes,Gluteus Maximus,Quadriceps Femoris,,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up
Single Arm Ring Chin Up,Master,Biceps,Biceps Brachii,Latissimus Dorsi,,Gymnastic Rings,Hanging,Single Arm,Continuous,Supinated
Double Kettlebell Bottoms Up Overhead Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up
Double Kettlebell Bottoms Up Thruster,Intermediate,Quadriceps,Quadriceps Femoris,Anterior Deltoids,,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up
Ring Iron Cross,Master,Back,Latissimus Dorsi,Biceps Brachii,,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated
Parallette Full Planche Push Up,Master,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Parallette Bars,Prone,Double Arm,Continuous,Neutral
Parallette Straddle Planche Push Up,Master,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Parallette Bars,Prone,Double Arm,Continuous,Neutral
Bar Dead Hang to Front Lever Pull Up,Master,Back,Latissimus Dorsi,,,Pull Up Bar,Hanging,Double Arm,Continuous,Pronated
Bar Full Front Lever Pull Up,Master,Back,Latissimus Dorsi,,,Pull Up Bar,Hanging,Double Arm,Continuous,Pronated
Barbell Overhead Bulgarian Split Squat ,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,Single Leg Supported,Double Arm,Continuous,Pronated
Barbell Bulgarian Split Squat Thruster,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Barbell,Single Leg Supported,Double Arm,Continuous,Pronated
Single Arm Barbell Overhead Bulgarian Split Squat ,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,Single Leg Supported,Single Arm,Continuous,Pronated
Bodyweight Full Planche Push Up,Master,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Bodyweight,Prone,Double Arm,Continuous,Flat Palm
Bodyweight Straddle Planche Push Up,Master,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Bodyweight,Prone,Double Arm,Continuous,Flat Palm
Ring Grip Full Planche Push Up,Legendary,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Gymnastic Rings,Prone,Double Arm,Continuous,Neutral
Bodyweight Two Finger Full Planche Push Up,Legendary,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Bodyweight,Prone,Double Arm,Continuous,Fingertip
Ring Grip Straddle Planche Push Up,Legendary,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Gymnastic Rings,Prone,Double Arm,Continuous,Neutral
Bodyweight Push Up to Alternating Kick Through,Intermediate,Chest,Pectoralis Major,Rectus Abdominis,,Bodyweight,Prone,Double Arm,Alternating,Flat Palm
Bodyweight Standing Walkout Push Up ,Intermediate,Chest,Pectoralis Major,Rectus Abdominis,,Bodyweight,Prone,Double Arm,Alternating,Flat Palm
Ring Pull Up,Intermediate,Back,Latissimus Dorsi,,,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated
Single Arm Plate Windmill,Advanced,Abdominals,Obliques,Rectus Abdominis,Anterior Deltoids,Weight Plate,Standing,Single Arm,Continuous,Flat Palm
Single Arm Plate Turkish Get Up,Advanced,Abdominals,Obliques,Rectus Abdominis,,Weight Plate,Supine,Single Arm,Continuous,Flat Palm
Bodyweight Pike Push Up,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,Inverted,Double Arm,Continuous,Flat Palm
Parallette Feet Elevated Pike Push Up ,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Parallette Bars,Inverted,Double Arm,Continuous,Neutral
Barbell Sots Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Quadriceps Femoris,Barbell,Other,Double Arm,Continuous,Pronated
Double Kettlebell Bottoms Up Snatch,Advanced,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up
Alternating Single Arm Kettlebell Bottoms Up Snatch,Advanced,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,Standing,Single Arm,Alternating,Bottoms Up
Alternating Single Arm Kettlebell Around the World High Catch,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,Standing,Single Arm,Alternating,Pronated
Alternating Single Arm Kettlebell Tall Kneeling Around the World High Catch,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,Tall Kneeling,Single Arm,Alternating,Pronated
Single Arm Kettlebell Around the World,Novice,Abdominals,Rectus Abdominis,,,Kettlebell,Standing,Single Arm,Continuous,Pronated
Single Arm Dumbbell Z Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Dumbbell,Seated Floor,Single Arm,Continuous,Neutral
Parallette Feet Elevated Push Up,Intermediate,Chest,Pectoralis Major,Triceps Brachii,,Parallette Bars,Prone,Double Arm,Continuous,Neutral
Stability Ball Feet Elevated Diamond Push Up,Intermediate,Triceps,Triceps Brachii ,Pectoralis Major,Anterior Deltoids,Stability Ball,Prone,Double Arm,Continuous,Flat Palm
Bodyweight Tricep Extension,Intermediate,Triceps,Triceps Brachii ,,,Bodyweight,Prone,Double Arm,Continuous,Forearm
Alternating Single Arm Kettlebell Around the World,Novice,Abdominals,Rectus Abdominis,,,Kettlebell,Standing,Single Arm,Alternating,Pronated
Single Arm Kettlebell Tall Kneeling Around the World,Novice,Abdominals,Rectus Abdominis,,,Kettlebell,Tall Kneeling,Single Arm,Continuous,Pronated
Alternating Single Arm Tall Kneeling Around the World,Novice,Abdominals,Rectus Abdominis,,,Kettlebell,Tall Kneeling,Single Arm,Alternating,Pronated
Single Arm Kettlebell Waiter Clean,Advanced,Glutes,Gluteus Maximus,,,Kettlebell,Standing,Single Arm,Continuous,Waiter Hold
Alternating Single Arm Kettlebell Waiter Clean,Advanced,Glutes,Gluteus Maximus,,,Kettlebell,Standing,Single Arm,Alternating,Waiter Hold
Double Kettlebell Waiter Clean,Advanced,Glutes,Gluteus Maximus,,,Kettlebell,Standing,Double Arm,Continuous,Waiter Hold
Double Kettlebell Waiter Clean to Overhead Press,Advanced,Glutes,Gluteus Maximus,,,Kettlebell,Standing,Double Arm,Continuous,Waiter Hold
Single Arm Kettlebell Tactical Waiter Clean,Advanced,Glutes,Gluteus Maximus,,,Kettlebell,Standing,Single Arm,Alternating,Waiter Hold
Double Kettlebell Waiter Clean to Alternating Overhead Press,Advanced,Glutes,Gluteus Maximus,Anterior Deltoids,,Kettlebell,Standing,Double Arm,Alternating,Waiter Hold
Single Arm Kettlebell Waiter Snatch,Advanced,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,Standing,Single Arm,Continuous,Waiter Hold
Alternating Single Arm Kettlebell Waiter Snatch,Advanced,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,Standing,Single Arm,Alternating,Waiter Hold
Barbell Overhead Pistol Squat,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,Single Leg Standing,Double Arm,Continuous,Pronated
Barbell Seated Wrist Curl,Intermediate,Forearms,Brachioradialis,,,Barbell,Seated,Double Arm,Continuous,Supinated
Single Arm Dumbbell Hollow Body Chest Press,Intermediate,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Dumbbell,Supine,Single Arm,Continuous,Pronated
Single Arm Kettlebell Tactical Waiter Snatch,Advanced,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,Standing,Single Arm,Alternating,Waiter Hold
Single Arm Barbell Overhead Knee Over Toe Split Squat,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Soleus,Barbell,Knee Over Toe Split Squat,Single Arm,Continuous,Pronated
Single Arm Barbell Knee Over Toe Split Squat Thruster,Expert,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Barbell,Knee Over Toe Split Squat,Single Arm,Continuous,Pronated
Barbell Knee Over Toe Split Squat Thruster,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Barbell,Knee Over Toe Split Squat,Double Arm,Continuous,Pronated
Double Kettlebell Waiter Snatch,Advanced,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,Standing,Double Arm,Continuous,Waiter Hold
Double Kettlebell Waiter Clean to Thruster,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell,Standing,Double Arm,Continuous,Waiter Hold
Kettlebell Start Stop Swing,Novice,Glutes,Gluteus Maximus,,,Kettlebell,Standing,Double Arm,Continuous,Pronated
Double Kettlebell Dead Clean,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Rectus Abdominis,Kettlebell,Standing,Double Arm,Continuous,Neutral
Single Arm Barbell Bulgarian Split Squat Thruster,Expert,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Barbell,Single Leg Supported,Single Arm,Continuous,Pronated
Single Arm Barbell Windmill,Expert,Abdominals,Obliques,Rectus Abdominis,Anterior Deltoids,Barbell,Standing,Single Arm,Continuous,Pronated
Bodyweight Windmill,Novice,Abdominals,Obliques,Rectus Abdominis,Anterior Deltoids,Bodyweight,Standing,Double Arm,Continuous,No Grip
Superband Isometric Split Squat Pallof Press,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Superband,Isometric Split Squat,Double Arm,Continuous,Neutral
Single Arm Barbell Turkish Get Up,Expert,Abdominals,Obliques,Rectus Abdominis,,Barbell,Supine,Single Arm,Continuous,Pronated
Bodyweight Plate Plyometric Push Up,Intermediate,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Bodyweight,Prone,Double Arm,Continuous,Flat Palm
