Exercise,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,Posture,Single or Double Arm,Continuous or Alternating  ,Grip
Double Dumbbell Seated Cuban Rotation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,Seated,Double Arm,Continuous,Pronated
Double Dumbbell Cuban Rotation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,Standing,Double Arm,Continuous,Pronated
Single Arm Cable Half Kneeling Contralateral Shoulder External Rotation 90 Degrees,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Cable,Half Kneeling,Single Arm,Continuous,Pronated
Miniband Fire Hydrant,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Miniband,Quadruped,No Arms,Continuous,Flat Palm
Medicine Ball Russian Twist,Novice,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Medicine Ball,Seated Floor,Double Arm,Continuous,Neutral
Bodyweight Side Plank,Novice,Abdominals,Obliques,Rectus Abdominis,,Bodyweight,Side Plank,Single Arm,Continuous,Forearm
Cable Reverse Crunch,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Cable,Supine,No Arms,Continuous,No Grip
Cable Rope Half Kneeling High to Low Chop,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,Half Kneeling,Double Arm,Continuous,Pronated
Cable Rope Half Kneeling Low to High Chop,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,Half Kneeling,Double Arm,Continuous,Pronated
Slider Double Kettlebell Bottoms Up Overhead Lateral Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,Standing,Double Arm,Continuous,Bottoms Up
Cable Rope Staggered Stance High to Low Chop ,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,Staggered Stance,Double Arm,Continuous,Pronated
Cable Rope Staggered Stance Low to High Chop,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,Staggered Stance,Double Arm,Continuous,Pronated
Single Arm Dumbbell Windmill,Intermediate,Abdominals,Obliques,Rectus Abdominis,Anterior Deltoids,Dumbbell,Standing,Single Arm,Continuous,Neutral
Slider Double Kettlebell Bottoms Up Front Rack Lateral Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,Standing,Double Arm,Continuous,Bottoms Up
Slider Double Kettlebell Front Rack Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,Standing,Double Arm,Continuous,Neutral
Bodyweight Feet On Wall Mountain Climber ,Advanced,Abdominals,Rectus Abdominis,Iliopsoas,Anterior Deltoids,Bodyweight,Prone,Double Arm,Continuous,Flat Palm
Slider Double Kettlebell Suitcase Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Double Arm,Continuous,Neutral
Bodyweight Hollow Body Hold,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,Supine,Double Arm,Continuous,No Grip
Dumbbell Crush Grip Hollow Body Hold,Intermediate,Abdominals,Rectus Abdominis,,,Dumbbell,Supine,Double Arm,Continuous,Crush Grip
Bar Inverted Hanging Crunch,Expert,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Pull Up Bar,Inverted ,No Arms,Continuous,Head Supported
Bodyweight Inverted Hanging Oblique Crunch,Expert,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Bodyweight,Inverted ,No Arms,Continuous,Head Supported
Slider Double Kettlebell Front Rack Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Double Arm,Continuous,Neutral
Bodyweight Supine Alternating Single Leg Raise,Beginner,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Bodyweight,Supine,No Arms,Continuous,No Grip
Bodyweight Supine Leg Raise,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Bodyweight,Supine,No Arms,Continuous,No Grip
Miniband Bicycle Crunch,Novice,Abdominals,Obliques,Rectus Abdominis,,Miniband,Supine,No Arms,Alternating,Head Supported
Bodyweight Side Plank Reach Through,Novice,Abdominals,Obliques,Rectus Abdominis,,Bodyweight,Side Plank,Single Arm,Continuous,Forearm
Bodyweight Sit Up,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,Supine,No Arms,Continuous,Head Supported
Bodyweight Butterfly Sit Up,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,Supine,No Arms,Continuous,Head Supported
Slider Mountain Climber,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Anterior Deltoids,Sliders,Prone,Double Arm,Continuous,Flat Palm
Slider Pike ,Advanced,Abdominals,Rectus Abdominis,,,Sliders,Prone,Double Arm,Continuous,Flat Palm
Stability Ball Pike,Advanced,Abdominals,Rectus Abdominis,,,Stability Ball,Prone,Double Arm,Continuous,Flat Palm
Slider Wide Mountain Climber,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Anterior Deltoids,Sliders,Prone,Double Arm,Continuous,Flat Palm
Stability Ball Crunch,Beginner,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Stability Ball,Supine,No Arms,Continuous,Head Supported
Stability Ball Feet Elevated Oblique Crunch,Beginner,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Stability Ball,Supine,No Arms,Continuous,Head Supported
Stability Ball Kneeling Rollout,Beginner,Abdominals,Rectus Abdominis,Latissimus Dorsi,Serratus Anterior,Stability Ball,Kneeling,Double Arm,Continuous,Forearm
Stability Ball Single Leg Knee Tuck,Advanced,Abdominals,Rectus Abdominis,,,Stability Ball,Prone,Double Arm,Continuous,Flat Palm
Stability Ball Single Leg Pike,Expert,Abdominals,Rectus Abdominis,,,Stability Ball,Prone,Double Arm,Continuous,Flat Palm
Double Dumbbell Z Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Dumbbell,Seated Floor,Double Arm,Continuous,Neutral
Slider Double Kettlebell Overhead Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Double Arm,Continuous,Pronated
Double Dumbbell Romanian Deadlift,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,Erector Spinae,Dumbbell,Standing,Double Arm,Continuous,Pronated
Single Arm Dumbbell Side Plank,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Dumbbell,Side Plank,Single Arm,Continuous,Neutral
Bodyweight Single Leg Glute Bridge,Novice,Glutes,Gluteus Maximus,Biceps Femoris,Obliques,Bodyweight,Single Leg Bridge,No Arms,Continuous,No Grip
Dumbbell Glute Bridge,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Erector Spinae,Dumbbell,Bridge,Double Arm,Continuous,Neutral
Bodyweight Glute Bridge Isometric with Alternating Single Leg Extension,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Obliques,Bodyweight,Single Leg Bridge,No Arms,Continuous,No Grip
Miniband Side Lying Clamshell,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Miniband,Side Lying,No Arms,Continuous,No Grip
Miniband Ankle Side Lying Hip Abduction,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,Side Lying,No Arms,Continuous,No Grip
Miniband Bench Seated Hip Abduction,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,Seated,No Arms,Continuous,No Grip
Miniband Glute Bridge Hip Abduction,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,,Miniband,Bridge,No Arms,Continuous,No Grip
Stability Ball Hip Thrust,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Quadriceps Femoris,Stability Ball,Bridge,No Arms,Continuous,No Grip
Stability Ball Dumbbell Hip Thrust,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Quadriceps Femoris,Stability Ball,Bridge,Double Arm,Continuous,Neutral
Bodyweight Frog Pump,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Adductor Magnus,Bodyweight,Bridge,No Arms,Continuous,No Grip
Dumbbell Frog Pump,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Adductor Magnus,Dumbbell,Bridge,Double Arm,Continuous,Neutral
Cable Glute Kickback,Novice,Glutes,Gluteus Maximus,,,Cable,Standing,No Arms,Continuous,Hand Assisted
Bodyweight Single Leg Foot Elevated Glute Bridge,Novice,Glutes,Gluteus Maximus,Biceps Femoris,Obliques,Bodyweight,Single Leg Bridge,No Arms,Continuous,No Grip
Suspension Feet Elevated Glute Bridge,Novice,Glutes,Gluteus Maximus,Biceps Femoris,Erector Spinae,Suspension Trainer,Bridge,No Arms,Continuous,No Grip
Miniband Thigh Lateral Walk,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,Walking,No Arms,Continuous,No Grip
Miniband Ankle Lateral Walk,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,Walking,No Arms,Continuous,No Grip
